Emp No,Device Token,newToken
40,5UnT5YaJAX8LXyrO9BppTTMIAIGq9tUy0cKE4gTg2FiXCk06J729zSH8tbVmlUdtIiukGvr7GKcp6hwz8GDxe0N1jyh12Sl5JBX29LBTOSTugVmpDW2rwBfXgkCm202wXdHzYB8CrgU3V1zUp61D3fL00hEkrClfm4elHYQ0xR8SkIEo9iqaVp7Xbv01oXzelgIv7wOC9PysRoFbuYlwzqVcjYN3NC1v,FPuXY6azrFRHaIAF9TPCOieEwd1ci06zgR7cx5vA1VXyuDLZOqVLar5WMPewrPTfoIQjvjBmmaDBOCFoceo3dNvO9N0Wrl9uwFdbjATojey79cFHRXHlKPPgZWxmRqjMbCX9jhZMK6JqsTIsiuEj0AMGbT7PXQLzPoINcMYzuHywWPNsAsLlIKR0fN2FHU9oCN905TY0ZEJ7T8vzqgpB5kSJeVHhFyU
41,MOOLjFUCDk4ylyZeysPCHNRbsEwAJeDXTnvN2XvuFwGDTXYS98DS1nE789y0j4GZQDkLZKC73dseYfNZLRi2JBYlWL19qgOr5UUxarbix8v4VNFUjLDNC4I9uY52oEqtLkrOabrWN360U2YW3Dd9gUj2pgURBJAeAIEjT7cZKNKDl2VrEv5dG5jI06J03QZiXUfz,TytEsOfqrtB8Y4bZIlCsL9wnHIiO1COHI8zRjvjrNGdB1ltv1VsuR5U4Q9oKL3YQ7uUHJqECxpyjRyrbsIcOqUe9GkDl7Hlnm8vm4itSUoXcTPsQvLCztT17oj14hlEmcuvzKV1u3dwJPdYA7xgrMboVdEjQglbDoNjgKSDUq1DLrvqbdFxXeyI5B0bR3e6GDNuoK9A2PSDMOGhAbpNXLuMR7GnmzkWa8BG9gtxsGZpkthiIQx0O
42,6WsXt7vfSjPPVsBREuA0sJs3cXgUGt1DbybaOF0qjfO9CgCT6IFAkid6sRTb0egsMtcurETiAZERZrZAWxMT1lf4WQuhcG07Cl3z0sOK9XV23lRhPx6KvYThd8nFPK2b7VVavc3x9ROA8bNzu2vOQnbEI92fAXv8Um1T4GIAFpvpMVx3ghVQdEyRlEM,DpUFxPaDCABPgVOciO1168r5gs0hHBoLB660ba8cOL9QSwykDnCBVN5WunkoDcVpRWjBIH6ed2RmQNQwknhxlkQYvrkenMDOHSGckQdjpIlp9GPVQGQ2eVB4OI7lxBpUxvuHXaIMnNBiMxxKAKI7TvFHYWLf1CapzcKwHUJdvg3rTALezLwE0I7Dn8CKbNaqxINEnHfedLjISzohp
43,w1O12YN8JQzdBev3dQlFRn1EMLKy4OLkGeyDHzKdduiYuiWHIT9XqApM2ICGc8QdttIajWGVKlR7gDGNUv9cIClqVlISVUTpUHvM3akzfDKcSEzk76NqmEbgk6WoU9cY5WdKAh2VsiVGQomMgIrlT1tbihe3ivwiriRWyEVXmrU42HXsLwyPc,EH2I5h5DGFTCGvrI1NijwIC9FFomgdluKxVhBxVVTjyzmyLoaSg78mnT7D9nStm2EmWnrVrXYxSDF9qKWJJIH4SSacU8buwjTRymsOzhLGdR0xvvb3xPC52ZYaZxFBC4TJrFxalQn6AfrJPOSr85b8qmvRogrbDzd1HJBVtBR2iEW1NsOIXqZADOBZgSZxdigBFbY2ZsofOcMoqM0eCEUa1j0g3IKbwCX7ZyEgcJD1rQ8F3KFJgW9TJDk0OKcv
44,tURCQO0F0otD9g0HDujmw8IhkBeKNqtu1Yf3N4aC7dr0kYyvj4adH22n0PmIY4ihWU8PIy7a8i11ShNv6NqPw9uu73P2I5AghLLbc2vYuMx7P0e7WaJUZVn2Bt2fJUcRvLV5uzdPDY4BJPKU79pAov2bpunCdj3cDNL7hx2RhbsEFY5wWKZrd2a9Tuq3ChXBQny2HL7q7BVJso10d0PWjzCr3Ol6YxtX27ydFeir1GkbXH01NiNEmOw,Qs4HCLm1FJcG55tRcRYGbhBFYLzoWAhb24biCKjU0FXt4YiGuJFgxITjeB5LzVAscaQMI3WrtL2HODEs7pQCg0AzXebCt7crW9cGoObaSNfHwuKHIeIOWrON5wUmIcUmSuwVm0kGvOjNf5AwVewaBogU0sKIaW6gjCoD8Kr4MG13EwU9oyDrW6x3hFeWA0mSCAAY
45,qej2I2KEEfgLV2Yt5yVK68LkWbbTRZnVyybd27MdQJKGC9yqi6D3bwfWOEw9rWK293stQn3qH2sVSUiNrGx82PuN51YWvnhiNFd5HdQRXHf5M8mdPvrOXPLElY7bFxBaWeDE7GRkyApP3zZC,KSou9PwoTxFBGWXHPWFxEpFVnpFeCE2mOGVIOuftYU7MB73jzd91rz7tuaa168k2Gv0GVeOsqKHOacwcsyf0Zr4V7EqjAd6TLtySUc9cV7XCKPxqEerRp5WKeD3sHFFLUOnGPzcOs2pXFLtlFQr3CjV0O5wHF7zcpTE2TUSZZUC6suzJlb0LnwQRtHaJXV8b34TgUP2yYs1j2xEt73bSka0YaCNry0Rbbd
46,WEJGBQIZguDGQli9HcpuX8zDvuA16q3iLZdlSFDBt4eQzGEAguStcFhKahL1hdGer7tGO1EjBVgdYngj3yLJ1scVi19eYf6hBTML3ZBebyxxN4iqNKKxHuopMv0mq7Vquo7GKfiPovNuDFFo6O6miOt5RqxA4Gr8TwUENd5MbbGSd7XHn9aJuxaOfs6sc3vLqqaOgvvjzgqHa40Y3F1dza05O0lTq76yE4KuqVoURGmUQQU,jSSbv3JmhpiAGaiYWewzbGilfwJWD93lI01CLBDBBHHz14TdsfPk5sedvOLXkazO6ZtNbmK7toEvIxf9ts99DcVg2eHk6sBPoJ6MhN73uS4ugZvCwXdEyNaxklYqxP4DjfnXs7QLiSYCVHgDEPCfnTndcYtyTqDcs5ZAqfQbdZejouXJcqOLOHjL4rqYFgt6rECjTkiVrbiuvhEcdtYyo5iz7yXj1BWgotP5AtKWu7uISDWpTRpynE
37,qKZYrKnpibWKv47MW0QAIMXgbJ4Ebb847NUiN6GN2q3UG41lQwz0Mds4cQiuaQDikyP91aD7fyJafIVv5GprqBiUtvjcJmO9nqxcMU2wY94iC0xiWfzHWIp7Hm8ypSH2PONrEu9ih9XBmLbPVpQMdXFVKtrTwKQBWW808M,m2sDg5LHclKUBb0o1hjSdfM1MOEPNgHdivAOpAMtfkl92hDDwC5tnUZkKO1Nq6yA5FHrKqgFSDrkBmP3MbZlIXUkcLgC8EvGxxqhaSPLosFWFlUdsfVMyz1oDGZoV4ElRWOFPhxBasy478jxd4QUSUjyU6cfNBHcgfD39PEiRDuAXsq5t79Zz0tnNmnp8n8KBoWS60MmV4fNNrQqQSof5VxXSoBaofKEXHw1VouLB
48,zEBXhhbWthTUMGus27Ptg8PRywyhyLZfpPmfv3lxgGkAiLTuucCtmHDKeAh1nUclLZmR9Xtvlr4gQnBbj1MXDBJWokSZhfbFpU9SH3K0T1my6E8pwHUPvlkkRyYp0o49MpMbSvcdhWzS3EDldr0buUhQiKtHQ8XZfBmxezbfbBGtwYX17yqFICRtll6YagspelvM,E3v5QXSDI0Fm6yl9rmXIVtLh2wLKBCJJuxEoga1mwYn0QC0pWLwZWJ0priUqNwIK2wBP0WF55EZzsDXENBxnoOKUKZClCezUqGUVkLHcPFX2wRdQwoQPCyRsy5tgSTYDMbSDqrExrFX5wYhFNJqnOznAS5cbxhbGaCCd7
49,pUsklHKFXsFkFxlXvCC8GO9clcFQe4GrElAcpeMrIVTeiCnvIFDqZhwICOmWJb4h9pYOTVGQ18664uVf0ooSW0yvSVrrmRWo8QpRhRDgG63NZQWbpzhXqJJTQp8XtqeGXFT8UW0ie08L,NzMI3dz0SPL8AooaTPpypnW9cQ6pz97I3zBh7lKagTNp6NKMnro2Yc6uCN6HWc3JiPMvVknhMUIZOQWCJ2lsVzq4Hkaha4G2FxXUMCSfytzvZR7V7dRs4YYtQqq9g3iCvR9PwViZvIZZeGdjR1kOPG5z1IDqQyiEPCDK4sbMqIynnoEMTUDVXfaUbtAl3aMtcQ3N30G1fo8E3RRcByxBSMmwL7R0L37hKyjxoz59YVDzbXJIQ3eyR33
50,1PESfSdbew28YRQojXsRdvWx9kl9HGsqUC9ReZ83aQf81vFGgfyAYYtpkE8qNEC5W45txQiLIVwwd51AIJyx9ivhPI5V3gCS5lptfRjKPbDdu2v0i5c5CY0y3OSRF3NKUVjINQFvmsnOheQPREsxh45heRVjXZbCgAof9bkxlG,eeN0BvdXGEhLNXbwoqQhZGP2iBhrMCUuUm2QBy9cpBjWs9dppSbmKwedr9jUQLCAX3bo7Lha9VNZq2VZT1qCtlG3ogPinx03HPDcwklk0FsQBGS7y2apJMa54QofzEsXZVTGGwBgcQS80JbdF9j1kopys9DOvOek97UO5hfRnpSgIrRt1
51,9VnCbKsQMuatJY0VaRNe1DozhXsoNbcLb0ucSNFS0Y7g23f5LZwF9PL26BNaAe1qcTRn3cSofJTxTmRINtMaaJzZbHUaSVyl3vPiball4UpDBfkNzmKKlzSCeFLLttKY8B1ixKg3FLRXTsW64yJBhH6Ln8bu1R4j4YVSlKicTEqnQ3xF9tCnhVBGgay7sSDjWZOy3sulxZ0J,Ni1QnC2fR87JWrCpwmXZnArL1uDn7F4F3IvCx8Zg4VO3O3iLKv5DbKBlORjG9XtWPqkk7tYlnfOmmXQICkBNxRH0MQYDXrz2NUA24boAc1wwV93XE2omgsBUQUviBR8RFLqCpqHLJ2S0vD6zB6qflJ17Zar2BxPGxcNgPo9Svdrg1ij9OoKUeHH19nz23yGokSvVCnv9GP5I4qRz16eVJ4rQMtrp5JlUDFVnaN
52,Wj1oS3wBfkuvPVJQDmLs0NXLcegzMEdwmgJRb2acMOrElymA6KW1AJoZ81NkHe3kr8jHFmMdolqlLDRPb7UoMVWArprgtbnnDXbi5qQSeecRVchwqyJ8HiyvbYnN3ApF9i3WPb6kLHpXp0ZvKrhJgTC3dERXWcrk0atORqHqCxJRgDAsLnYxqBb5aTG8YtMcI6GHt2UlmHX4I7jfN0keo1UNB,CHAV0vSFB81tbiYYPshDTdNUh2nXjIYcMSCaIA1unUESYpHfLGuAt1TllGpUDV48kDxON9Adxt3FPaY9rjiveSUCVMeh0Mz7w4Bo5pyHySWWjufHCDfnVyfiMZwJKrmP7mboAb47ZYYSoIrCbwOaFkToHyiVZqOihxvQBakWqWPB7timfXtZDLaveB
53,uy5Bj69ZsGQ7unNeNo1jhq23TQrYL9NH2Wnoo8qFicIRNQTnCBTvhRL8cmRBhSODerWP9Oy1HybaweIBH4qmUJVq2lzCf55wtePIISXSdc52pQnjwkEqxfgYU6GWZW1lLTnKSgZtast7vr,srxnbbwAx6aqxsQlPlQ3IzVm25YOYSVRYgZlZEf2hLZHKpd92jcHqCHGJRDgTqJkgrrIt59gKlz82w3hVqRVW5hY2sEPqWb1NAaYw2inryoDg1nKLu5pGdCMz1B738GC6CIb6oss9XCDblJx9UifklKc6E17btCJNUtldwXNHXpvz4oSm21G7fjVkCQ8bTjRKllgL9H8NohIAe64gdKlAzYL6hM9IvE
54,rtn679WQDuR4HIOC7bevpJJe3pVPw0SzLMVik2VO5tUPiDkLJSCGd1y09GPrU2fjxP9aBtf83SxEyBTdSMGufZjQhEpo7RzZo5leHBtFRC6b6WmF0e1dDy3Yl01zDgspo0AuBuUlLt4SClohGmJwTKcMUZF,RXTNlKPdmJkMMAIwqkzei1LhXzwUvdBlSvF85anguIAJN9TjHmYgrFk5ME1K0ARZ6IWylgtjWKI2L2uzEDkMEI92ZZYmA8jzlLWrLP9mxno0P3vrJSnvNQ81ZxTZoO8MBUmsDiMkX7zn9MtsGTL8npE193mihOe2Or2zjXyonrxwEAviXHN4420ZaeNpyL2w0R
55,IicDKXwsn7ARZPG95aBougFpTagtjqgF0OyijW5gmW2040Qxx4SdGktg782MHoGQutCZxRvAS4oI17eaMxdtnE1uehUcN6BhT2InxqV5IjFOfoCR9TJvEqd95XjdydGdkxqVao7BzfGNOOlRBfKeElIShj9a7kHujDnvrgmVuNnOR,PjPByAul8PIJIz1mJPLFQV78Sg72BH92sHpmnfvizpwgZfcHzdBHmozeMzLAqPX2hCe5JVkqtoeNdTInGQ6QdvslbiH1R0xwVxx8BXjxZbnFrWQkYJrCroSlfIooYMcdmlygViMBrshtdYp9PyUh1LPG5TTlI62
56,JAxJH4EAAKZbfFFDJecdSBqdWagRV9SjUWZP2s5OFAei4oFBn6JPxKJX6O4DkgF3Ou8ds8sDqHhyRXAHEoLBWTSk3cdfXmaww5hwqM7bS8Dim0bfsXSPjgI8DG1ugLGW67vzRmH9gia4L4aSp9M3lraA2jIxfxkgy3vzyBjOmsIYruSOH0rp2se5If,CgKbHjngcEgiybOyq1vujxoyLWg5g4OGmMVjBlqlO4cOMOUbeh2cZvHpMF8peDfDb7imfUakefF0NYjZpp5Y95lFPLyyZqPfEI2Libi1X01lWdigkz3QHiFwLGUQTUZFaNBtwTkub4TpcT53fTZRKyrVBcwZoQT6srVyoBgZIjHl1F6TzevjsAuISNmlOOlZCXifM9llQZPqt2dLMqU8k6t51lHLRsOxwerxy7WfUQI8NWTYp6Paz5
57,QjalU6kYKOc0IbpoHdlReq9Fz6sw225we5raVcY9MRxqOyTTGQJqawPCS5w39HhNPL26m83BEe9mYxhOw5OJBIpZ3F6zpPRwGljVz3gnmHxSEVXcOPLqZQzpNx51HxAvCYT00h1FMbuQYZd1PK2tSQSdWxUW8TFIyeWO9GPWW8IZqpSlbAZCFmzvbl9gfdGca0MUGHIn4SAS3Wb0dbF,ccpLdC0VQkBaIRZ0JpUjqevWgXQ1uUVg3JBMAh0Q5x6CuEyiju3Mc07FUeXKBXYT2jmlDXijbUieEVCYIYH8e5O31czu9WdR3rrQgKkFskWpoNKglZwqDztBpNYmB03Mp5zW0dEGgju6smBKokg26UyfGE4ZFgvD5QN4SEEgUjMyzLsu0wUsj8pAyywmFPQy2IzBPtuWCR
58,5QuSz9YY3t4o91SbfHd5CvujnxxoNCFX57YgSsxoeXXJdFs6kh4DpyYfihsG69IxC3LppuvrSzGv7E5kGiN8GHGNt3Wih6fXJLtqnrqkO1bipmLjRLXouxTlmgd2ipgvNwq9ajR0nEEvVvfgS3eRswsunLQ0VcQQwhooSU8MEizNbU9kcentq4Vgp47DCBjwTME2LQnfLInChhPzV7oTHaSd40Iolxx,jtaKrlqklVBxpyqe29OcEyqPXfvhlXqKEFRmwp8VqHvad4Cf1RRzNE7XGRraEgQ07UAlqAyJKxBHcRF4dcNfOM7WHpTbsAq7jBEqT09KE0x5H0pRKA1eiAYasbWCXUkbmJMVCajtHVawdlk7DcQ6QfTV6ciGL49BwuXSrP35g8dSFta93dnvMpwicV0f0P0PSGpj0FiwX62uwwiOQiVaS1ZoQuReX
59,IWDGXFWxTYf08P4Qht8As9m9XSvbRPLBfhLbRUKN6hMEIlWAgRhkyAHa5rciKjeqPu3wTFaleK71blIiYktZyFY7u5wkBoy0FTrWivPoIZpsWsb55a8dlqKFtobwFsJGVQ1pa9kPzJjPbv12LFC6ZX2N8W51lPH2klH3cAdKCEzvpJPHQAjrzn6l4C2UPawbLQ8MR3Iya7DgKcC9ICS2N6,NBzarZNUm0xeJNCXNUWH2rX1k1J4XkC3eGpEQbSAOs4A8LY7dsL8gn9ui3qNapd6QfTsL8e29davVzJdyIOIdklcQYyv8Kf09GsJRJDRUBqSiTXrQdPK6dqmB7tX5LXS0JZwwjDYUGTp5eRecucWqlsZzfXL73aibJ4tpswdbuurkNVOASLuCdjx5BneaydevWzrIyw476NiFrvwJU
60,Nu80dXvSAB1unh95b2dkTcNy6Upl91rNajxyf3QWya0iosSbdsEYtJUvSDdCPhWtsWlqzZaGz1XTcbYZbZltnNXXLuJtmCVSzm1vEC03G3hnhjgFtzGKjOMAeeSMwOihbhm4fZ6X4VL7FA5wpyR04yaMz5mtyQsweB5GA19pkp8CNWBQfmJ1aEWc6tTzVX4wCpLdeoPweA98Pscas5OK1RE,2WtqaF2dO5mJON1JTZCcmzYy3a3yMC5lv3hCCl2LDnBHwr8pgIdgzp7rLa7DNybpZ3i37p4Ajlaln3SADe2HYOJUjdeYv1WB31IzrsvJ1HnOH9BQKDU1Z6ClfFNrUmC67qLbxI9wamYuhaszHiPeVJe8YgKpkW1M3BQIWN05s7EyX0uJvLTUWCG4qhetMBuHaIi99ZrW0myOp3TCDG23MjKNwUDAp373CUIX30VfE6Z
61,LLWMAfdwOpcGh2pbXjGvMOpeCQyglPRhL2iQpyzPIe4NW8OhdE1lrDMB9Rj9dl9Tp4PCNM6OUP4htViN73mqIISjslY0tkNxjEUObNvyM7LRZVH5AtnJwteqkPBaYeah6u87IFBqtH4iyVyyPiyP09IzPFrngPARPisLAle4PUyoXCEY2x1TRR7PBWjdPVog0Svom2Qziit,g1i5uN4C4cH2jbVUHnzQ3sH8zYbUvdP07o8aTKEvVyD5quagbjYkzSnES6BKCMzFuNzTnMDjThpOuTkgkfBQ81lOADURQW2BuGfdjpFkXxh2z2miLk7FFxZbuzsZcpJiwlKlZl1X7L9HLIK1pBbEVSUWbFPTbe9cGJ3hoUw0XStlD8tecselVsIxvEttHiN7g7O6ouYokDTDlvKz9iSlqABXleE3TMUGx7xUne4c
62,9KFQ9D7kelycNXF5UKiUMfXaoGENduVmhwgPCKsw2cDXZY0WVWK66MbZCLt0b7rmjShrxItUyomGuBw6mZPIlSSzpJGU0eJGNEtSgBqJqAfV2ui67AahOtVeFzxBBMaG3au5jJHyzalTcmE14XD8odikWuquqS5Up,9XjaIdHWasgUEKL40lUIPrrGAe1ikdn2GB0iPIr22je168GdzRFcD3LRNbtVyJWtFJ1DURbflm1rfTUtbqmaeLHaDdR5SmvqPS1VZx8S1yPI2b3kTnlETRmat1Waq7q0VIuOKPpm4Qma6PIfFCK95LnLHNsHrelITRuVq7kg35YtZiKs6vwsnXmPQSOGXmv0DO9SdP6JjJsp2XQp
63,EzmPDL86Ld4qWlJPZgOQQp9uPmR0L9IUXhlxRFDGcziIDimg8lYfkBWLNZVHaICfIAh3lju4vfHJytxY8xdhz5LzSa7cPw18bssMhw3G5quUxIm3yg4R8WBou14XCXfkwdGbuc2bspd0xAdsKcYsywrRtKxHHIJyVBwE6M2lCIj9W08Bt8jpIrRhrEJioXjB3NrWFfGLzeQnNtPDvFxKu44BT86De3Uu1rdaBS7rr01oQAMTfDKo,3owqEyqQ8PNdn9q1kHTCLqNi8yXcd7e0vkXx0Ta9BQctfZrOKHv8apKNyD2ZJY5XIgmLrFBxfVotrc8yOscIr1HwGEg2U10XiwQeiC9a7vwauJcqbzOLRqfx3WxOhBER4VekmdX8gXDJse1vPgKGUNFCRyYc7N1eRSbwjYFAA36YwNan0gWYIM01cwwDUBFDC6QzXr6Yq0PZpHyCW1Y
64,phRX7WjYJcpI2p1o97NCytpeGPyHe49IhbYpe2FslvcQoPxjMQn6tsdzUXDLTpXQpF922nHLGemJFJ3E69zeObwycHnGPmZquAoy70JJEXNaCmSXfiz3k4LnepswsKdc4iSfAG09XX8AMVjc3HNXb1EcAuF8ZIJIbhjhtMuwqKvUkeIWD7nWeUVJwJZetIBh6KisU8dFa0RZuJ,gnzeUzRLaxyqBBjIVYjNtVTKCkymEFrJYGH3hDfaWp0nT3y5HymrF9iLJHS8eQ6gyzJJOtLwSCLq8Q9tGaE197XNFdJldpClw5verFsAYByWtlqZeOg1tzSbGlSv5TRrGzW3hVDLrdKa4ZqsvGwOTtWd11B8PgYuT5WPYBBMaAFe9ux5GbB45jVSiJtah
65,Z6ftcADMsMMg39c16vvJZo0rUWWTMZK5qMpaaCGM9Tjk34BfWZQLT0oXXOSDVl1gSJFiRxC42tYwreMspDVzuvHvuWwhidwqkY5dptiRl2lSckTQkXD1i2Eh2oBqBCYh3kn1pLAXkGdAu,c1QCl8nJQEjr5YvjXcN9akoA60KwJpFuO9MlTQXdH5I1yXslF34bsCSdBgPFyOiAneAblkXBq8XfFfShoR9KJaSAjbvGmuqaOTscT7FM3WAZ1c6HbmRvFKGCBjHO37c2YIiU0TgxlR1iqU2XghLW2e5dgPCAxDV31G11SNEAgwcMsyqVyrXgPLdvhKKYpBBS8kMzLFpSvhd8SjE2HCFqDBIvEn4G4Khc6yKS38bUTPnqlIb3
66,yqw62ERa0mQdTN2BJnSAPkvSITXqpEUpWnEYgc570AA4fGXd0PFjzw9WC78WuvQJqGCBpydrmW0ewull2TMtJo09uxQdDcEWgmWJptwtE5BLqYQm3fS7D61PmoY5mP7QFTsZCp3n4IluqxHxwgaqHu9VdoUHKdnY10GJycfxS1nwFbYhhTWj,732fhHmh4BKjP4v56fHwRX66oIpeL9bOqdPu4PuIieV3NVnq2QEnQtpVp1BMwHKwp1WV91cTqUfgKedzbZhD0C7kI5ZD61Tg3b3Qm0aHZiVY2eB62geQSp6gV5GZTCKjeOvTjXViRIvLHksaGkMh69c1Fi05EZpdGXtSU6HuTbApZ
67,vxsFzNynLvgfqxJ7Vv0mCfseRRkig4N1HECcvrYY5yG0USqfHw8fpHXisc5qCigeROY9TsSErrKpP5c9vGFwa8dEkSd4fEA82E7EUXiDQCAaFVYEdtnXp2YQzg4TRKbdkj4wSCbNogdoxCDRSha29IrPF09uAtMnWUhoyOjfsnv8Y9od9EpLu3qJDH8CgEZdBrNPwGxnhUUL5RNXDt7t8xJCPC6OH2,zW4Sa1OWZUF4CaOV4cP6Dvshs4AkgT5BVaRQbCS8hf9EX8FFvbgqOG3iXmT8F492CRa1M1ySw0NRrTTJZGmmZ5LPjzxw3Lx5dkcZsgTDI6seuaQ1C69AEnglFcHpaLuMuGsdG9sPkTsAA9ol62zuAr4Ngn
68,FiA2uUmTu94ursurHQrtxL58D6SREFka08kvTDuPqH1f7iEmC47cjN7z5eUFPHJ42rtd70gDShAy29SUx5HPX9eCesNDbeJ2HXucerOE2i0BKGvrxOnLubg3wQ6HggY5PVo5DmBcx70z9sPGY,2vKscD1Qo6obdN3KjPX4Yjf05lK4sidocae2uT8brjJXpKupMyPHKhocEibeiNMnNAnORiMdeLI3JcWRPXNtNq8DPx9J1pnYsqZcwzKcKin3uazSFKEuYbZhQbDsXLpigcpQQmeZXPr5QTIBowrTWxVmgPBwI8RusAc3cK6q50SdLvOKFOh1fHHsj
69,yzvzql5vn19zMle3RFsEsmY5OBPgD12xoh7V6NsMmsRkUWKYJN2LLNv5AmCKL3aKPWATfP6phfNUA9P5XCbwAKWEDtL4UOuwqX4WnMfCLXSLKNBXP71K1FOAgVmXBi43phYalkEZQsrpysv8ZeUzGyS8N7QDi12OlG8E91O1DxYezAT2n4h0ekI3zEPn5XlIja3ZEiDW,1I6WBnLjEeh1R3ixXY4NwNM4oHBO93KlYEIpBaDHGHuIuYCAwFYTDIlRRQqCFe0ooX7x6sasXhpwnP8kLieJ9aRJSrRsJhTES4FnuqvU09W3t2QSMXu81mpDXGxsZplr7JB5PqAYCZ0jrrBGXmsdXuTpjor9jnXTMD4cogaqKXPUWiQs3KuL1ucFUKckF27Hj
70,BDymxbq8KOXdUqIkoqq7T4P5k3EChXXCQ2wXtU0SsJV4St0ySnv4d1CZIxXoP4bHoNyTObOvwBEJKZlOI9KV7IS77cTvFvEDFOK7X5Coy0kUjgCfzRlC0i36KtxReJl3N9IQqB9q2HTsxBdebTgkRni9jlQTVEo6JQcr1cHipDrdKrZUElNgfQo3vj1ICVGM42PvXCbZXgyf06cb8Sxa2nJpAe4wL38MFbaTf7OBRbdKlRxmm95TlEgXQnLm,WF4oTrHIWYgtbAQD1nQXdhWS0LLIcWE0nJldFFNiAoumZjI3xDxfo4MmOqp4J31Dsg7V4ttTwAA8akXBbYAYanevrnZrnAI5DBdDL8lVZ2yOLS1a2HU4fMVhSiAU9pauxSQpTnrkFnxSqGgxYO7SRKgDzsXspGFxzWEyEwLPrEw16ZMhRsBhQYn2EGsqUGgjXtb645dUCgaY7EHXcC43xMfRg1Xy
71,J2hitYJE2TQ9v91RjmePvuCWl4tTZh8AvUse1zA32oIbHNtNjwwNfBxXfk74C133tgsBnS3bT8GIUI2O3Mn8zNJ3FoNEmncvqmOqE0psa5Ik1wfUjBhAfaDhwzSripH86CAQ61mYhDg4qvhVvQFWjHQyAC0FAoc8,HMMBOal3mlYgFOa34M1gklXAhJZ6vR5fJfV4h5GwUUSKG8JxHyZ0gTV5GOVn8XCXMY2w0Mf6MRCxW20q7oNFHsMD6iHMNDE09FZ2dWHapm2IXirmy9VXIWxHodPPYtOpqeUREMo3IXYX3gjwVDE2kOHjengAJmO
72,WTt4BaTzXMeW5lrPoaif3bk6ncT87EfnXl0MsRklZbDDbAhUYnKaTr2NRZxIc55ynyNchKRmZ3UfpOqoObEiQgC1wrFKzfYkyFp6FzfJsjqWeEE3NjLMeWfhlDSuzCjFnFANDmvIXywVgkwGn8uqjTT3Oq2SgHVX4fC8AL0aFNGpvNOfHzRpsygpOrYYSH42mPiDmWeYYlTdOvkoUJkArXd8PitOAxx,dhyh1LplmHRTOw7vq3SeQfTnNTbdhBrwebQyzqNnHcAADPmV6fy7ZBwBcaZdmJOMzH7roAQTRiqTBAc0AO4tOpYdMgb6GqEmUdRwZAEyVdgH35evbTPQ6M7LPZ9XVqnnZqMTmVDy99a4qYjgxRXiNwKSBsfoRsNQFBtNclQhpRY0A4U2ryufZnPTPmoYpUUsPw
73,6ebPGNpMbZi5Y6eVlMtswc11aPYqhn1cSdPFtLzLGulxy4o66UyAKcvmTAyILKI6dGcsHP8rdYaNftQCu1FV8LZFLTVBzHGDNLRUSLt29kVod9CDD966cXmyDrNGKefCFy7kbj3sYWBkjFtoCEUysi64I1UXXLua8ECHF6Rl5uUxPM3v62nO5x4hPobqh4qdMMWtSK7SxXl1WwMv20lKU2Hb,6zTdsjWme3Uj86WRMFSDSSTjWPPGCyUm18Kv6ohrUgr8S6CwxBIfz9klPqzzjCXzvO2lG133MjNmjXjPGWOE6fSjevlrRQw6Oc8vrcvlPhXVGKu3Mql8dKYwPIC5YlhkRlGeT7517QzOud0zpNl49cERdEONoBv0XRFhtd5TIGwFvCwC5ixOXe7u9CVL9hLgRR3cyw
74,Y82chHdeOpEdZAHOuMwaMLSuxX6xBYJAiuYYoDHFMHISuuDF7syw7NwYi5ye9vFbpb0CztDedxCIWhvDAd5i2EcABcnvG0cSH1n9tbu0H58EaiwW3XH2MbhL3WHXNYc3PgnBIlGzyGGuAxnFKhHlmhwr9rRt74xEvlWrelThjndCTXuUMqCiGKezy5Lv7eFuhrZx7ktMuICt9LXXgGpTJAktcUt3ZDb1uX9HUnA0IbPf,9ClxsHr2UVNeBKcPQgGZuE9Q1pHb8fLExCO3KrAXHWKGo6yLuEmHMal6o9azbaC6gFmvd6XVgRJe6iF7hZZJ5dEvrZqADTmMWdGYFhyvNp3cyDZI2EpjcqWbZtUVhbK207SrsW0NmoMYHLd7Hrv7QQJq
75,sY2gRmcKzGzHtr0XLQFOpfD5XAv5Awb8RJrZBZ5HMU0fd0e5avMal4M9sOfLeIwnUMhxxNOxDZTdNgsqUbs2PQPGTnRPUmYSiaCnyOiFGsrtUSmjMQHR0ZddVFYVMrkCT4cOKyKC8lGEjsyNczTLM78HjwMTP1rBX1oJUIaAVIsXLWeOAz2XJLU194zZhsFSg0Mv4e75Dk,BBY5u6fgdl96N2zHSbZEyRJ23f6qOJsHwj627W6LqYidVg7JXCRYXHSka9f7tW9OkUQ9wJM7C5TvOUITQSuckOTOR5bS6NoELyiHa5a1K09YQYnae7ncaCRsuYCaUa7i9BUJPLiUx170edOSaBnCRERWA7U425wmccu1TtUJ4CR5SZu0OloZgKfJYcCuTVbKexTdvTwv5txLuPqedbFn9myJGQjI96r47JmV84
